tr2000gj,tr2000ge,tr2010gj,tr2010ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G5300110040507,53011040507,G5300110040507,53011040507,1,1,1,1,1,1,1,1
G5300110040508,53011040508,G5300110040508,53011040508,1,1,1,1,1,1,1,1
G5300110040509,53011040509,G5300110040509,53011040509,1,1,1,1,1,1,1,1
G5300110040603,53011040603,G5300110040603,53011040603,1,1,1,1,1,1,1,1
G5300110040604,53011040604,G5300110040604,53011040604,1,1,1,1,1,1,1,1
G5300110040605,53011040605,G5300110040510,53011040510,0.0000110023,0,0,0,0,0,0,0
G5300110040605,53011040605,G5300110040605,53011040605,0.9999889977,1,1,1,1,1,1,1
G5300110040606,53011040606,G5300110040605,53011040605,0.0000385009,0,0,0,0,0,0,0
G5300110040606,53011040606,G5300110040608,53011040608,0.60754152,0.3662239089,0.3740239459,0.3711711712,0.3694503171,0.3647355164,0.3724291273,0.311827957
G5300110040606,53011040606,G5300110040609,53011040609,0.2043908708,0.3173276427,0.3021671628,0.3124064084,0.3050088749,0.3109155766,0.308768561,0.232281182
G5300110040606,53011040606,G5300110040610,53011040610,0.1880291082,0.3164484483,0.3238088913,0.3164224204,0.325540808,0.324348907,0.3188023117,0.455890861
G5300110040702,53011040702,G5300110040703,53011040703,0.0001173644,0.0016841317,0.0018498943,0.0020311442,0.0022026432,0.0021265284,0.0012658228,0.0084745763
G5300110040702,53011040702,G5300110040709,53011040709,0.2943675874,0.2488772455,0.2576638478,0.2566012187,0.2571585903,0.25943647,0.2493670886,0.3093220339
G5300110040702,53011040702,G5300110040710,53011040710,0.7055150482,0.7494386228,0.7404862579,0.7413676371,0.7406387665,0.7384370016,0.7493670886,0.6822033898
G5300110040703,53011040703,G5300110040703,53011040703,1,1,1,1,1,1,1,1
G5300110040705,53011040705,G5300110040707,53011040707,0.2514745955,0.2995006184,0.2994127,0.2994580442,0.2954640504,0.2929130161,0.307713704,0.2527952437
G5300110040705,53011040705,G5300110040711,53011040711,0.3053173479,0.2943780196,0.2965971186,0.2915638628,0.3012132011,0.3041309348,0.2521959644,0.4719532945
G5300110040705,53011040705,G5300110040712,53011040712,0.4432080567,0.406121362,0.4039901814,0.4089780929,0.4033227485,0.4029560491,0.4400903316,0.2752514618
G5300110040706,53011040706,G5300110040706,53011040706,1,1,1,1,1,1,1,1
G5300110040803,53011040803,G5300110040803,53011040803,1,1,1,1,1,1,1,1
G5300110040804,53011040804,G5300110040808,53011040808,0.4516511382,0.1862234117,0.1944276196,0.1938278289,0.2033898305,0.2000747943,0.2418341709,0.1386243386
G5300110040804,53011040804,G5300110040809,53011040809,0.2786589925,0.5350049303,0.5166565718,0.5208446129,0.5053212456,0.5067314884,0.4378140704,0.619047619
G5300110040804,53011040804,G5300110040810,53011040810,0.2696898693,0.278771658,0.2889158086,0.2853275582,0.2912889239,0.2931937173,0.3203517588,0.2423280423
G5300110040805,53011040805,G5300110040805,53011040805,1,1,1,1,1,1,1,1
