GISJOIN,YEAR,STUSAB,ANRCA,AIANHHA,RES_ONLYA,TRUSTA,AIANCC,RES_TRSTA,BLOCKA,BLCK_GRPA,TRACTA,CD101A,C_CITYA,CMSA,COUNTY,COUNTYA,CTY_SUBA,COUSUBCC,DIVISIONA,MSA_CMSAA,PLACEA,PLACECC,PLACEDC,PMSAA,REGIONA,STATE,STATEA,URBRURALA,URB_AREAA,CD103A,AREALAND,AREAWAT,ANPSADPI,FUNCSTAT,INTPTLAT,INTPTLNG,PSADC,ET1001,ET2001,ET2002,ET2003,ET2004,ET2005,ET2006,ET2007,ET2008,ET2009,ET2010
"G53003300296","1990","WA",,,,,,,,,"0296",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000010830","0000000000","Tract 296","S","+47344341","-122182921",,6332,5236,251,72,538,8,99,14,13,12,89
"G53003300297","1990","WA",,,,,,,,,"0297",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000011253","0000000000","Tract 297","S","+47364711","-122224410",,5647,5198,92,68,96,5,132,4,10,3,39
"G5300330029801","1990","WA",,,,,,,,,"029801",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000007923","0000000052","Tract 298.01","S","+47366667","-122270469",,6158,5359,168,45,379,0,143,6,1,15,42
"G5300330029802","1990","WA",,,,,,,,,"029802",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000006918","0000000138","Tract 298.02","S","+47346350","-122271838",,6179,5632,107,33,268,7,73,7,1,7,44
"G53003300299","1990","WA",,,,,,,,,"0299",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000010167","0000000069","Tract 299","S","+47322383","-122266852",,7547,6588,144,80,512,7,131,1,5,13,66
"G5300330030001","1990","WA",,,,,,,,,"030001",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000006782","0000005812","Tract 300.01","S","+47360822","-122323406",,10962,9211,557,128,654,20,178,26,11,28,149
"G5300330030002","1990","WA",,,,,,,,,"030002",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000004148","0000000164","Tract 300.02","S","+47330263","-122301139",,6821,5768,290,79,395,13,135,8,10,12,111
"G53003300301","1990","WA",,,,,,,,,"0301",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000005933","0000013734","Tract 301","S","+47336793","-122364990",,7062,6343,137,23,406,4,82,0,3,2,62
"G5300330030201","1990","WA",,,,,,,,,"030201",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000002762","0000000053","Tract 302.01","S","+47321451","-122345590",,4652,4084,141,35,237,9,83,6,0,16,41
"G5300330030202","1990","WA",,,,,,,,,"030202",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000003235","0000000000","Tract 302.02","S","+47323304","-122321014",,5941,4994,209,44,498,1,129,0,5,17,44
"G5300330030302","1990","WA",,,,,,,,,"030302",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000007397","0000000027","Tract 303.02","S","+47299617","-122344403",,9855,7977,369,67,1063,14,226,5,5,46,83
"G5300330030303","1990","WA",,,,,,,,,"030303",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000006630","0000000000","Tract 303.03","S","+47302513","-122316294",,5825,4850,310,73,391,9,115,15,2,5,55
"G5300330030304","1990","WA",,,,,,,,,"030304",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000007410","0000000014","Tract 303.04","S","+47277700","-122329361",,1887,1724,40,13,55,1,33,0,0,1,20
"G5300330030305","1990","WA",,,,,,,,,"030305",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000003688","0000004247","Tract 303.05","S","+47325633","-122391998",,4635,4112,103,27,259,2,71,4,6,8,43
"G5300330030306","1990","WA",,,,,,,,,"030306",,,"91","King","033",,,"9","7602",,,,"7600","4","Washington","53",,,,"0000003761","0000001930","Tract 303.06","S","+47315400","-122398811",,5563,4780,186,35,422,8,77,4,4,3,44
